ds,yhat,yhat_lower,yhat_upper,y
2014-01-01,16956.090423500875,7917.052883006155,25396.464339468035,14236.895
2014-02-01,3734.630261215032,-5240.4671392331475,12554.997013346545,4519.892
2014-03-01,42557.73721387553,33951.374668661454,51657.98243489012,55691.009
2014-04-01,26439.26073100577,17587.131464197562,34688.35204638149,28295.345
2014-05-01,26643.08265695215,17892.557404787356,35172.02430936221,23648.287
2014-06-01,27772.603238459764,18701.458940456585,36561.45981906039,34595.1276
2014-07-01,27547.146536851724,19091.808593726208,36490.63604833354,33946.393
2014-08-01,31866.692648072567,23120.12401924142,40314.36966580944,27909.4685
2014-09-01,68461.97628951847,59736.79980753264,77214.69736127449,81777.3508
2014-10-01,36668.797240968976,27649.11009028247,45392.211881000665,31453.393
2014-11-01,78435.29604464634,70078.37727694864,86868.7544378336,78628.7167
2014-12-01,69793.57812807885,60923.880407314275,78380.96871835346,69545.6205
2015-01-01,17863.044843040614,9781.83416166495,26277.573373834006,18174.0756
2015-02-01,13096.089595280318,4697.794075548439,21308.044746178144,11951.411
2015-03-01,47137.565320002665,38533.21983413487,56128.06336278024,38726.252
2015-04-01,32766.513552198783,23621.55168018313,41721.13987699246,34195.2085
2015-05-01,25302.103236752915,17083.811446248455,33421.88415473302,30131.6865
2015-06-01,30574.163519719965,21785.911142735044,39052.3174545294,24797.292
2015-07-01,33070.89523202905,24511.66087012228,41554.1907816182,28765.325
2015-08-01,40373.57281823958,32202.193304231838,49279.73372358349,36898.3322
2015-09-01,75927.25547792898,67198.28036526486,84329.41437965215,64595.918
2015-10-01,34855.273323536705,26378.98290149473,42320.45582817431,31404.9235
2015-11-01,85261.29680963681,76154.86734384707,94010.63519157919,75972.5635
2015-12-01,73814.46917040349,65543.74498504674,82230.04608039492,74919.5212
2016-01-01,20141.199733514517,11501.200322376255,28913.76874783129,18542.490999999998
2016-02-01,24221.970275193642,15402.702963292959,33859.81476543249,22978.815000000002
2016-03-01,52813.736649701736,43570.43060453153,61781.92936506289,51715.875
2016-04-01,33512.33568989691,24692.53630749969,42382.1504380603,38750.039
2016-05-01,49671.232934767504,40925.98110051691,58719.35282262104,56987.728
2016-06-01,43396.27327812308,35130.01260760842,51851.973148783036,40344.534
2016-07-01,38165.99297841451,29531.815894279167,46954.31688439969,39261.963
2016-08-01,36678.00662394444,28794.730840231514,45257.39007220029,31115.3743
2016-09-01,75248.89827472749,66944.04495155181,83883.95766639976,73410.0249
2016-10-01,62781.56331491252,54553.954100548064,71226.46925370453,59687.745
2016-11-01,88722.67299946424,80376.01866794107,96738.76321495023,79411.9658
2016-12-01,86729.92294256692,78021.03070426355,94722.48036377307,96999.043
2017-01-01,39983.3995483221,31668.902042383786,48196.829009115514,43971.374
2017-02-01,18713.286757903647,9657.066480372125,26872.4222462604,20301.1334
2017-03-01,62532.531571513195,53580.6970289889,71013.65810191419,58872.3528
2017-04-01,45054.409250021476,36874.50235333714,53318.38722761474,36521.5361
2017-05-01,53409.57854398813,44870.90993603114,61857.244942462006,44261.1102
2017-06-01,50972.11554433198,42013.9095463148,59710.387126630885,52981.7257
2017-07-01,48443.11653240405,40039.63298814168,56541.898147635125,45264.416
2017-08-01,50114.615161554226,41355.008415931756,58417.01961593159,63120.888
2017-09-01,88000.34157387892,79731.22852434308,96104.71650662138,87866.652
2017-10-01,66019.92285902312,57661.990413944,74404.38123334546,77776.9232
2017-11-01,100051.53464150605,91291.22858304987,108524.66583031305,118447.825
2017-12-01,94971.21647528259,86181.09415326065,103739.88606401627,83829.3188
2018-01-01,45772.718498412185,37348.423074674174,54436.70150783673,
2018-02-01,32975.31098055445,24318.829194355316,41673.16250597018,
2018-03-01,72181.43322542316,63034.96516969898,79673.91064614058,
2018-04-01,56487.00938747428,47845.687887809196,64770.565603325405,
2018-05-01,57101.20484094422,48892.013569301205,65719.40571843713,
2018-06-01,58654.77806838265,49818.922457264605,66606.72538509924,
